start livelink
[0.202, -0.03, 0.008]
[0.202, -0.031, 0.004]
[0.2, -0.032, -0.0]
[0.198, -0.033, -0.004]
[0.199, -0.034, -0.007]
[0.196, -0.034, -0.01]
[0.195, -0.035, -0.012]
[0.195, -0.036, -0.015]
[0.195, -0.037, -0.019]
[0.194, -0.037, -0.025]
[0.193, -0.038, -0.032]
[0.191, -0.038, -0.036]
[0.188, -0.037, -0.04]
[0.185, -0.037, -0.044]
[0.182, -0.037, -0.046]
[0.18, -0.037, -0.048]
[0.179, -0.037, -0.049]
[0.179, -0.038, -0.049]
[0.181, -0.038, -0.046]
[0.181, -0.039, -0.043]
[0.182, -0.039, -0.04]
[0.181, -0.038, -0.039]
[0.181, -0.038, -0.038]
[0.18, -0.038, -0.039]
[0.179, -0.039, -0.04]
[0.181, -0.039, -0.042]
[0.184, -0.039, -0.046]
[0.188, -0.038, -0.048]
[0.192, -0.037, -0.05]
[0.191, -0.036, -0.052]
[0.189, -0.036, -0.052]
[0.187, -0.036, -0.052]
[0.184, -0.036, -0.05]
[0.183, -0.037, -0.048]
[0.184, -0.038, -0.046]
[0.184, -0.038, -0.044]
[0.183, -0.038, -0.041]
[0.183, -0.038, -0.041]
[0.182, -0.038, -0.041]
[0.18, -0.038, -0.041]
[0.178, -0.037, -0.042]
[0.176, -0.037, -0.043]
[0.174, -0.037, -0.044]
[0.173, -0.037, -0.043]
[0.174, -0.037, -0.042]
[0.174, -0.038, -0.041]
[0.174, -0.037, -0.039]
[0.174, -0.037, -0.038]
[0.172, -0.037, -0.037]
[0.17, -0.036, -0.037]
[0.17, -0.035, -0.037]
[0.169, -0.035, -0.037]
[0.171, -0.034, -0.037]
[0.171, -0.034, -0.036]
[0.172, -0.034, -0.035]
[0.172, -0.034, -0.035]
[0.173, -0.034, -0.034]
[0.174, -0.034, -0.034]
[0.175, -0.033, -0.033]
[0.177, -0.033, -0.034]
[0.188, -0.032, -0.035]
[0.188, -0.032, -0.035]
[0.19, -0.031, -0.034]
[0.191, -0.03, -0.03]
[0.187, -0.028, -0.025]
[0.187, -0.028, -0.025]
[0.187, -0.027, -0.023]
[0.189, -0.026, -0.021]
[0.188, -0.024, -0.017]
[0.188, -0.024, -0.017]
[0.184, -0.023, -0.013]
[0.18, -0.022, -0.009]
[0.175, -0.021, -0.004]
[0.173, -0.019, 0.0]
[0.172, -0.019, 0.005]
[0.17, -0.018, 0.009]
[0.169, -0.018, 0.013]
[0.167, -0.017, 0.016]
[0.165, -0.017, 0.02]
[0.164, -0.015, 0.023]
[0.163, -0.014, 0.026]
[0.163, -0.012, 0.028]
[0.163, -0.011, 0.031]
[0.165, -0.01, 0.033]
[0.166, -0.009, 0.036]
[0.167, -0.008, 0.039]
[0.168, -0.008, 0.044]
[0.169, -0.008, 0.051]
[0.171, -0.008, 0.058]
[0.177, -0.009, 0.067]
[0.181, -0.009, 0.079]
[0.183, -0.008, 0.089]
[0.185, -0.007, 0.097]
[0.186, -0.005, 0.104]
[0.187, -0.003, 0.109]
[0.19, -0.002, 0.112]
[0.191, -0.001, 0.113]
[0.192, 0.0, 0.113]
[0.191, 0.001, 0.112]
[0.188, 0.003, 0.111]
[0.184, 0.005, 0.11]
[0.181, 0.006, 0.109]
[0.179, 0.008, 0.108]
[0.177, 0.009, 0.107]
[0.177, 0.01, 0.107]
[0.177, 0.011, 0.107]
[0.177, 0.012, 0.108]
[0.179, 0.012, 0.11]
[0.18, 0.013, 0.111]
[0.18, 0.013, 0.112]
[0.18, 0.013, 0.112]
[0.179, 0.014, 0.112]
[0.179, 0.015, 0.113]
[0.181, 0.016, 0.114]
[0.183, 0.018, 0.116]
[0.185, 0.018, 0.116]
[0.187, 0.019, 0.117]
[0.188, 0.02, 0.118]
[0.188, 0.021, 0.119]
[0.188, 0.021, 0.12]
[0.187, 0.022, 0.121]
[0.185, 0.023, 0.121]
[0.181, 0.024, 0.121]
[0.178, 0.025, 0.121]
[0.176, 0.025, 0.122]
[0.175, 0.026, 0.122]
[0.174, 0.027, 0.122]
[0.174, 0.027, 0.123]
[0.173, 0.028, 0.123]
[0.173, 0.028, 0.124]
[0.174, 0.028, 0.124]
[0.174, 0.029, 0.125]
[0.174, 0.029, 0.126]
[0.173, 0.029, 0.128]
[0.172, 0.029, 0.13]
[0.173, 0.029, 0.132]
[0.175, 0.028, 0.135]
[0.177, 0.028, 0.137]
[0.18, 0.028, 0.14]
[0.181, 0.027, 0.141]
[0.182, 0.027, 0.143]
[0.181, 0.027, 0.144]
