start livelink
[0.005, 0.018, 0.054]
[0.004, 0.019, 0.051]
[0.004, 0.02, 0.049]
[0.004, 0.021, 0.045]
[0.004, 0.021, 0.045]
[0.009, 0.022, 0.044]
[0.015, 0.022, 0.043]
[0.021, 0.023, 0.044]
[0.026, 0.024, 0.044]
[0.029, 0.024, 0.044]
[0.03, 0.025, 0.042]
[0.032, 0.028, 0.037]
[0.032, 0.028, 0.037]
[0.032, 0.029, 0.034]
[0.032, 0.029, 0.03]
[0.031, 0.029, 0.027]
[0.03, 0.029, 0.024]
[0.03, 0.03, 0.02]
[0.029, 0.03, 0.018]
[0.021, 0.03, 0.013]
[0.016, 0.029, 0.01]
[0.016, 0.029, 0.01]
[0.014, 0.028, 0.008]
[0.014, 0.028, 0.005]
[0.016, 0.028, 0.003]
[0.021, 0.028, -0.001]
[0.024, 0.028, -0.004]
[0.026, 0.028, -0.006]
[0.029, 0.028, -0.009]
[0.033, 0.027, -0.013]
[0.033, 0.027, -0.013]
[0.036, 0.027, -0.015]
[0.038, 0.027, -0.017]
[0.041, 0.026, -0.018]
[0.045, 0.026, -0.02]
[0.047, 0.026, -0.022]
[0.049, 0.026, -0.024]
[0.049, 0.025, -0.026]
[0.048, 0.025, -0.028]
[0.046, 0.025, -0.03]
[0.042, 0.024, -0.032]
[0.037, 0.023, -0.033]
[0.032, 0.021, -0.034]
[0.029, 0.02, -0.036]
[0.026, 0.02, -0.037]
[0.023, 0.019, -0.038]
[0.019, 0.018, -0.039]
[0.014, 0.017, -0.04]
[0.01, 0.015, -0.042]
[0.007, 0.014, -0.045]
[0.006, 0.013, -0.046]
[0.005, 0.01, -0.049]
[0.005, 0.01, -0.049]
[0.003, 0.008, -0.05]
[0.002, 0.007, -0.051]
[0.001, 0.005, -0.052]
[-0.001, 0.003, -0.054]
[-0.004, 0.002, -0.056]
[-0.009, 0.001, -0.057]
[-0.017, -0.0, -0.059]
[-0.023, -0.002, -0.059]
[-0.031, -0.004, -0.06]
[-0.039, -0.007, -0.061]
[-0.047, -0.01, -0.062]
[-0.054, -0.013, -0.062]
[-0.061, -0.015, -0.063]
[-0.066, -0.018, -0.063]
[-0.07, -0.021, -0.063]
[-0.076, -0.025, -0.063]
[-0.081, -0.028, -0.062]
[-0.086, -0.031, -0.061]
[-0.093, -0.033, -0.058]
[-0.099, -0.035, -0.057]
[-0.105, -0.037, -0.056]
[-0.106, -0.038, -0.053]
[-0.106, -0.04, -0.051]
[-0.105, -0.041, -0.047]
[-0.104, -0.042, -0.043]
[-0.106, -0.043, -0.04]
[-0.112, -0.043, -0.036]
[-0.12, -0.043, -0.031]
[-0.127, -0.042, -0.026]
[-0.133, -0.041, -0.02]
[-0.138, -0.039, -0.015]
[-0.139, -0.036, -0.009]
[-0.14, -0.033, -0.002]
[-0.139, -0.029, 0.007]
[-0.137, -0.019, 0.026]
[-0.137, -0.019, 0.026]
[-0.131, -0.015, 0.033]
[-0.127, -0.012, 0.039]
[-0.116, -0.003, 0.051]
[-0.113, 0.001, 0.056]
[-0.113, 0.001, 0.056]
[-0.108, 0.005, 0.062]
[-0.105, 0.009, 0.065]
[-0.102, 0.017, 0.068]
[-0.102, 0.017, 0.068]
[-0.101, 0.02, 0.07]
[-0.102, 0.023, 0.072]
[-0.102, 0.027, 0.079]
[-0.102, 0.027, 0.079]
[-0.099, 0.03, 0.081]
[-0.096, 0.033, 0.082]
[-0.093, 0.035, 0.082]
[-0.09, 0.037, 0.082]
[-0.088, 0.04, 0.082]
[-0.083, 0.044, 0.079]
[-0.083, 0.044, 0.079]
[-0.079, 0.045, 0.076]
[-0.072, 0.047, 0.072]
[-0.065, 0.048, 0.068]
